Timestamp,Plate ID,Plate Number,OCR Confidence,Plate Confidence
2025-02-14 20:34:22,1,R-183-JF,0.99,0.78
2025-02-14 20:34:36,2,N-894-JV,0.98,0.74
2025-02-14 20:34:45,3,L-656-XH,0.98,0.65
2025-02-14 20:35:01,4,H-644-LX,0.97,0.74
2025-02-14 20:35:08,5,K-884-RS,0.98,0.79
2025-02-14 20:35:11,6,66-HH-07,0.99,0.80
2025-02-14 20:35:24,7,66-HH-O7,0.98,0.82
2025-02-14 20:35:43,8,L-605-HZ,0.97,0.75
2025-02-14 20:35:58,9,DL3CBJ1384,0.99,0.74
2025-02-14 20:36:27,10,HR26C06869,0.97,0.76
2025-02-14 20:36:37,11,DL7CD5017,0.98,0.73
